sample_name	collection date	isolate	host	lab host	geographic location	isolation source
sample_264	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_265	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_266	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_267	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_268	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_269	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_270	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_271	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_272	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_273	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_274	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_275	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_276	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_277	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_278	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_279	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_280	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_281	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_282	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_283	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_284	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_285	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_286	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_287	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_288	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_289	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_290	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_291	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_292	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_293	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
